Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes
Verstärkung des I-Reglers bei RoughRoad;KhsGr_Ki_RRD_kl;KhsApplReg: ""Applikationsgrößen für den Regler"";eEindim;eViewText;eBars;eHiLo;0;1;0;0;0;0;5;1;10;;1;0;0;;;0.0001;-0;$18424;Fahrpedalachse bei RRD;;%;0.1;-0;10;0;0;1;1;eRom;0;$18310;eHiLo;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Verstärkung I-Regler des Gradientenreglers;KhsGr_Ki_kl;KhsApplReg: ""Applikationsgrößen für den Regler"";eEindim;eViewText;eBars;eHiLo;0;1;0;0;0;0;5;1;10;;1;0;0;;;0.0001;-0;$1841A;Fahrpedalachse;;%;0.1;-0;10;0;0;1;1;eRom;0;$18310;eHiLo;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Schaltzeiten in D (Eco) mit Momentenreduktion abhängig von der Zieldrehzahl;KhsMRedTSchaltEco_NZiel_kl;KhsApplSchaltzeit: ""Applikationsparameter für die Schaltzeiten"";eZweidim;eViewText;eBars;eHiLo;0;1;0;0;0;0;5;6;10;;1;0;0;;ms;1;0;$184BA;Drehzahl;;U/min;1;0;10;0;0;1;0;eRom;0;$18474;eHiLo;0x-1;0;Gänge Hochschaltung;Khs.GangLetzt;;1;1;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schaltzeiten in D (Eco) mit Momentenreduktion abhängig vom Fahrpedal;KhsMRedTSchaltEco_kl;KhsApplSchaltzeit: ""Applikationsparameter für die Schaltzeiten"";eZweidim;eViewText;eBars;eHiLo;0;1;0;0;0;0;5;6;10;;1;0;0;;ms;1;0;$1831A;Fahrpedalachse;;%;0.1;-0;10;0;0;1;1;eRom;0;$18310;eHiLo;0x-1;0;Gänge Hochschaltung;Khs.GangLetzt;;1;1;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schaltzeiten in D (Eco) mit Momentenreduktion bei RoughRoad;KhsMRedTSchaltRrd_kl;KhsApplSchaltzeit: ""Applikationsparameter für die Schaltzeiten"";eZweidim;eViewText;eBars;eHiLo;0;1;0;0;0;0;5;6;10;;1;0;0;;ms;1;0;$183CE;Fahrpedalachse bei RRD;;%;0.1;-0;10;0;0;1;1;eRom;0;$18310;eHiLo;0x-1;0;Gänge Hochschaltung;Khs.GangLetzt;;1;1;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schaltzeiten in S (Sport) mit Momentenreduktion abhängig von der Zieldrehzahl;KhsMRedTSchaltSport_NZiel_kl;KhsApplSchaltzeit: ""Applikationsparameter für die Schaltzeiten"";eZweidim;eViewText;eBars;eHiLo;0;1;0;0;0;0;5;6;10;;1;0;0;;ms;1;0;$184F6;Drehzahl;;U/min;1;0;10;0;0;1;0;eRom;0;$18474;eHiLo;0x-1;0;Gänge Hochschaltung;Khs.GangLetzt;;1;1;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schaltzeiten in S (Sport) mit Momentenreduktion abhängig vom Fahrpedal;KhsMRedTSchaltSport_kl;KhsApplSchaltzeit: ""Applikationsparameter für die Schaltzeiten"";eZweidim;eViewText;eBars;eHiLo;0;1;0;0;0;0;5;6;10;;1;0;0;;ms;1;0;$18356;Fahrpedalachse;;%;0.1;-0;10;0;0;1;1;eRom;0;$18310;eHiLo;0x-1;0;Gänge Hochschaltung;Khs.GangLetzt;;1;1;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schaltzeiten in Tiptronic mit Momentenreduktion abhängig von der Zieldrehzahl;KhsMRedTSchaltTip_NZiel_kl;KhsApplSchaltzeit: ""Applikationsparameter für die Schaltzeiten"";eZweidim;eViewText;eBars;eHiLo;0;1;0;0;0;0;5;6;10;;1;0;0;;ms;1;0;$1847E;Drehzahl;;U/min;1;0;10;0;0;1;0;eRom;0;$18474;eHiLo;0x-1;0;Gänge Hochschaltung;Khs.GangLetzt;;1;1;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schaltzeiten in Tiptronic mit Momentenreduktion abhängig vom Fahrpedal;KhsMRedTSchaltTip_kl;KhsApplSchaltzeit: ""Applikationsparameter für die Schaltzeiten"";eZweidim;eViewText;eBars;eHiLo;0;1;0;0;0;0;5;6;10;;1;0;0;;ms;1;0;$18392;Fahrpedalachse;;%;0.1;-0;10;0;0;1;1;eRom;0;$18310;eHiLo;0x-1;0;Gänge Hochschaltung;Khs.GangLetzt;;1;1;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Auswahlschalter für Interpolationsart der Schaltzeit mit Momentenreduktion in Eco;KhsMRedTSchalt_Auswahlmaske_ko.Eco;KhsApplSchaltzeit: ""Applikationsparameter für die Schaltzeiten"";eZweidim;eViewText;eBars;eBitLoHi;0;0;0;0;0;0;1;1;10;;0;0;0;;;1;0;$1856F;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Auswahlschalter für Interpolationsart der Schaltzeit mit Momentenreduktion in Sport;KhsMRedTSchalt_Auswahlmaske_ko.Sport;KhsApplSchaltzeit: ""Applikationsparameter für die Schaltzeiten"";eZweidim;eViewText;eBars;eBitLoHi;0;0;0;0;0;0;1;1;10;;0;0;0;;;2;0;$1856F;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Auswahlschalter für Interpolationsart der Schaltzeit mit Momentenreduktion in Tip;KhsMRedTSchalt_Auswahlmaske_ko.Tip;KhsApplSchaltzeit: ""Applikationsparameter für die Schaltzeiten"";eZweidim;eViewText;eBars;eBitLoHi;0;0;0;0;0;0;1;1;10;;0;0;0;;;4;0;$1856F;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Auswahlschalter fuer die Aktivierung der Schaltart-abhaengigen max. Motormomentenreduktion;KhsMRed_Modus_RedMaxSchaltart_ko;KhsApplMRed: ""Applikationsparameter für Momentenreduktion der Hochschaltung"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;3;0;0;Wert 0 = Aus /  Wert 1 = Ein;;1;0;$18156;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Mindest Moment der Gehenden am Ende der schnellen Überschneidung, ganghängig.;KhsSU_MKupMin_Gehend_ko;KhsApplUeberschnSchnell: ""Applikationsgrößen für die schnelle Überschneidung"";eEindim;eViewText;eBars;eHiLo;0;1;0;0;0;0;6;1;10;;2;0;0;Motor/Kupplungsmoment;Nm;0.05;-0;$18620;T_GANG_0_1_6;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Momenten-Offset auf Gehende Kupplung für Momentenschwelle zum Abbruch nach Befüllen;KhsSU_MKupOfs_GehendeAbbr2Bef_kl;KhsApplUeberschnSchnell: ""Applikationsgrößen für die schnelle Überschneidung"";eEindim;eViewText;eBars;eHiLo;0;1;0;0;0;0;4;1;10;;2;0;0;Motor/Kupplungsmoment;Nm;0.05;-0;$18608;Kennachse für Anlegegrad Kupplung;;;1;0;10;0;0;1;0;eRom;0;$18590;eHiLo;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Mindestmomentgrenze des Motors bei schneller Ueberschneidung (OPL_2850);KhsSU_MMotMin_Begrenzung_ko;KhsApplUeberschnSchnell: ""Applikationsgrößen für die schnelle Überschneidung"";eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;2;0;0;Motor/Kupplungsmoment;Nm;0.05;-0;$1867E;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Var.1: Das Moment der Gehenden fruehzeitig herausfahren.;KhsSU_Mask_EnableAnlegenMitKal2_ko.AbbauGehVar1;KhsApplUeberschnSchnell: ""Applikationsgrößen für die schnelle Überschneidung"";eZweidim;eViewText;eBars;eBitLoHi;0;0;0;0;0;0;1;1;10;;0;0;0;Wert 0 = Aus /  Wert 1 = Ein;;8;0;$18680;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Auswahlschalter in Tip fuer die prinzipielle Wahl des Befuellvorganges;KhsSU_Mask_EnableAnlegenMitKal2_ko.BefKal2Enable;KhsApplUeberschnSchnell: ""Applikationsgrößen für die schnelle Überschneidung"";eZweidim;eViewText;eBars;eBitLoHi;0;0;0;0;0;0;1;1;10;;0;0;0;;;1;0;$18680;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Auswahlschalter ermoeglicht die Verwendung eines eigenen gangabhaengigen Faktors auf das Ueberschneidungsmoment, wenn die kommende Kupplung bereits vorbefuellt ist. (OPL_2832);KhsSU_Mask_EnableAnlegenMitKal2_ko.FaktUeVorbefExtra;KhsApplUeberschnSchnell: ""Applikationsgrößen für die schnelle Überschneidung"";eZweidim;eViewText;eBars;eBitLoHi;0;0;0;0;0;0;1;1;10;;0;0;0;Umrechnungsregel fuer Auswahl Kennlinie bei vorbefuellter Kupplung;;16;0;$18680;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
